台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"""え〜と、常にここ太ってる人
お願いです""
""無料でいいので
脂肪を取らせていただきたいです""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分無料にさせていただきます！""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",33.50%,5.10%,0.10%,7,0.005%
"男なのに胸が垂れてる男性を探しています
""突然ですが
男性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""ほとんどが女性のお客様で
男性のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ追加料金とかあると思ってる方も
ご安心ください""
""今DIOクリニックなら
相場100万円分する医療ダイエットを""
""男性モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や追加料金も一切ございません""
""でも流石に
赤字覚悟のキャンペーンですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
キャンペーンの
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",33.12%,0.50%,2.10%,6,0.011%
"食べても食べても太らない体にしたい女性
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
モニター価格として
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",53.70%,0.40%,0.90%,3,0.004%
"""座るとこうなる人
絶対見て！""
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
男性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""ほとんどが女性のお客様で
男性のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""男性モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",22.55%,0.30%,0.80%,3,0.002%
"""おっぱいそのままで痩せたい
骨格ストレートの方
おめでとうございます！""
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分無料にさせていただきます！""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",17.98%,0.30%,0.80%,3,0.002%
"運動したくないけど、それでもいけんの？
あー、失礼ですがお客様ただいま食事制限とかされてますか？？
""うわ、やっぱり痩せれる人と痩せれない人いるんだ！
食事制限はしてない。
できないからここにきてるわけじゃん""
なるほど、でしたら。。。
あー、もういいもういい、できないんでしょ？？
だいたい3ヶ月後には-15kgくらいを目指せますね！
は？本当にいけんの？？証拠は？
実は脂肪は簡単に落ちるんです！
へー
""そもそも太ってしまった原因は脂肪細胞っていう細胞で
これ厄介なのが、普通にダイエットしても脂肪細胞が小さくなるだけで、数自体は減らないんですよ。。。""
なのでちょっと気が緩むとリバウンドしちゃうんですよね。。
へー。。。
でもディオクリニックの医療痩身なら脂肪の元から破壊するからリバウンドほぼ0の体を目指せちゃうんです
へー、なんかすごいね。
他にも通ってる人はこんな感じで痩せられてます
「へー、でもどうせ高いんだろ」
""今実はダイエットデータが全然足りなくて、
100万円分無料で受けられる、モニター様を募集中なんですよ！""
へー、そんなのあるんだ。でもネットに書いてなかったよね。
""そうなんです。
流石に赤字覚悟のキャンペーンなんで各店舗先着5名限定なんですよ""
え、じゃあ私もらえないの？うわーじゃあどうしてくれるんですか
""まだ間に合うかどうかは
下の詳細から確認してみてください""
へー、
""注意して欲しいのは、
この動画は検索しても出てこないから
少しでも気になったら今すぐ確認したほうがいいです""
へー、なるほど。",59.10%,20.00%,0.10%,2,0.020%
"""も〜う、わかったわかった
無料にするから
医療ダイエットだけ受けてくれん？""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
""今DIOクリニックなら
相場100万円分する医療ダイエットを""
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",27.48%,14.30%,0.10%,2,0.014%
"常にここ太ってる人、お願いです
100万円分無料でいいので、脂肪を取らせていただきたいです
突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",25.60%,5.10%,0.20%,2,0.010%
"""ここだけ太ってる人
それディオクリニックにお任せください！""
""だって今
7月31日までの期間限定で""
""お腹の脂肪だけを減らす
医療ダイエットモニターを絶賛大募集中！""
""通常100万以上する医療ダイエットを
100万円分無料でご案内してるんです！！""
なんでこんな募集してるかっていうと！
「おっぱい残したまま痩せたいんだよな！」「医療ダイエット気になるけど、高すぎる！」
というお声をお客様からたくさんいただいたので！""
お腹痩せモニターとして、募集を開始しました！
もちろん顔出しなどは一切ございません！
""医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""3ヶ月で-15キロ簡単に目指せて
リバウンドほぼ0の体にさせていただきやーす！""
""しかも今なら
超絶話題のマンジャロちゃんを
なんと！
1ヶ月分無料でプレゼントさせていただきます！""
もうまじでやらない理由なくない！？
""でも一点だけ注意で
流石に赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます！""
""検索しても
モニター募集の
ページは見つからないので""
お腹の脂肪減らしたいって人は
""今すぐ
詳細をチェックしてみてください""",37.50%,7.20%,0.10%,1,0.007%
"おい、ほんとにお腹の脂肪なくなったじゃねーかよ！
・・・
""おい、しかもちゃんと15キロやせんじゃねーかよ。。。
寝てただけだぞ？走ってもねぇ。食ってたぞ俺。""
・・・
""他の人もめっちゃ痩せてたじゃねーか。。。
もっと宣伝しろよ、どんだけ謙虚なんだよ。。。""
・・・
""友達にも勧めといたぞ勝手に、、
ありがとうございます。。""
""100万円分無料で受けられたって喜んでたんだけど、
どうしてくれんだよまじで、
あいつらも100万円分無料で痩せたら、俺と差分でねーじゃねーかよ""
・・・
""あとさ…あれもついてたよな？注射のやつ、マンジャロ。
1ヶ月分も無料なんだって？？
勝手に俺の体質、変えてくんなよ…""
すみません・・・
""流石に赤字覚悟すぎるだろ。。。
もっと儲けだせよ。。。""
""すみません。。。
なので各店舗先着5名様限定とさせていただいております。。。""
""このキャンペーンもしっかり限定配信しとけよ？
応募が増えすぎてお前また忙しくなるだろ！
ちゃんと休めよ！""
""この動画はおひとりさま一回限りの配信になってます
あと、今この瞬間もかなり応募が殺到してます。。。""
""おい、100万円分無料で医療ダイエットしたいって思った奴ら、絶対くるな！
これ以上この子を働かせるな！""
お前もうこれ以上働くなよ！",71.70%,29.40%,0.01%,1,0.003%
