台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"ここだけ太ってる女性
お願いです！""
""100万円分無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",37.90%,3.10%,0.10%,92,0.003%
"""お願いします！
無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
""今DIOクリニックなら
相場100万円分する医療ダイエットを""
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",39.10%,1.10%,1.40%,83,0.015%
"""ここだけ太ってる人、絶対聞いて！""
12か月分無料でいいのであなたの脂肪取らせてください！""
""突然ですが
ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""梅雨の時期になると
来店が少なくなるので
症例データが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
リバウンドほぼゼロの体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今ディオクリニックなら
""モニター価格として
12ヵ月分無料とさせていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",34.20%,2.80%,0.10%,79,0.003%
"""ここだけ太ってる女性
お願いです！""
""100万円分無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",17.31%,0.50%,0.80%,70,0.004%
"""え〜と、常にここ太ってる人
お願いです""
""無料でいいので
脂肪を取らせていただきたいです""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分無料にさせていただきます！""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",20.42%,1.10%,0.50%,50,0.006%
"""足痩せしたい
骨格ウェーブの方
おめでとうございます！""
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分無料にさせていただきます！""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",27.37%,0.40%,1.00%,44,0.004%
"""お願いです！
反応しちゃってもいいので
あなたの脂肪取らせてください！""
""突然ですが
男性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""ほとんどが女性のお客様で
男性のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ追加料金とかあると思ってる方も
ご安心ください""
""今DIOクリニックなら
相場100万円分する医療ダイエットを""
""男性モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や追加料金も一切ございません""
""でも流石に
赤字覚悟のキャンペーンですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
キャンペーンの
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",66.58%,0.70%,1.80%,37,0.013%
"""更年期で太ってきた人
お願いします！""
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
モニター価格として
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",45.04%,2.50%,0.50%,35,0.013%
"セルライトどうにかしたい骨格ウェーブの方、お願いです
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",15.12%,0.50%,0.90%,35,0.005%
"""ちょっと痛くてもいいから
個室でみっちり痩せさせてくれる男性を探しています""
""突然ですが
男性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""ほとんどが女性のお客様で
男性のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ追加料金とかあると思ってる方も
ご安心ください""
""今DIOクリニックなら
相場100万円分する医療ダイエットを""
""男性モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や追加料金も一切ございません""
""でも流石に
赤字覚悟のキャンペーンですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
キャンペーンの
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",44.50%,0.90%,1.80%,29,0.016%
