台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"ちょっとお待ちなさい！
""40代パートの主婦でも
AI副業で月収50万達成する方法""
知りたくありませんの？
これ、テレビでもオススメされてて
""家事の合間とか隙間時間に
PC開いて文章をコピペするだけ！""
なんてお手軽なのかしら...！
""だけどAIって難しそうだし
家事忙しくてAI勉強する時間なんて全くないわ...
って思った方々！""
大丈夫！安心なさい！
""あるのよ
私たちの味方が♡""
ここの無料オンラインセミナーに行きなさい！
""たった2時間で
AIの使い方から月10万稼ぐ方法まで学べちゃうの！""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいるらしいわよ！""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるの！""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるから
次の日から収益化目指せちゃうわよ！""
""オンラインで顔出し不要だから
そういうのが苦手な人でも安心なさい！""
""これ、10万人以上が参加した
人気無料セミナーだから""
""AI副業少しでも気になる人は
無料セミナーだけでも予約するのよ！""",0.14%,1.89%,7.41%,8,0.140%
"ChatGPTの時代もう終わりました
""まだChatGPTしか使ってない人は
正直時代遅れ""
今はもうAIの使い分けができてない人は生産性に10倍差が付けられてる
例えば市場調査や競合分析なら、PerplexityがChatGPTの10倍早く正確にまとめてくれるし
資料作成なら、Gensparkがプロレベルのスライドをたった5分で作ってくれる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
そこで日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.13%,1.93%,6.67%,8,0.129%
"ご職業教えてください
30歳フリーランスです
どんな仕事内容かお聞きしてもいいですか？
AIを使ったライティングだったり、SNS運用をやっています
それって具体的にどういったことをするんですか？
ChatGPTを使って記事作成を代行したり
私インスタで美容系のアカウントを運営してて、投稿用の内容とか画像をAIで調べたり作ったりしてます
ぶっちゃけ月にどれくらい稼いでるんですか？
月によってかなり変わるんですけど平均で50万くらいですかね
AIは独学で身につけられたんですか？
私はSHIFT AIの無料セミナーに参加しました
正直自分でAIを勉強するのは無理だなと思って
そこではどんなことを教えてもらったんですか？
AIの最新情報から月10万稼ぐ方法、あとは仕事に活かす方法とかを教えてもらいました
正直無料のセミナーってちょっと怪しくないですか？
これまでに10万人以上参加してる実績があったのと無料なので最悪損しない時かなと思って
そんな規模大きいんですね
講師の木内さんが日本最大級のAIコミュニティを運営してるらしいんです
参加方法も特に面倒な作業がなかったんで安心して参加できました
LINE追加して予約するだけなんで特に面倒な手続きとかもなかったので気軽に参加できました
詳細をチェック↓",0.21%,2.43%,8.51%,8,0.207%
"""これで
月15万稼げます""
""使うのは
ChatGPTとKlingAIだけ""
""まずはChatGPTで
もとになる画像を生成""
""作りたい画像の
特徴を打つだけで完成""
""アイディアが思いつかなかったら
それもChatGPTに聞くだけ""
""次にKlingAIで
生成した画像を動かす""
してほしい動きをここに入力
""これだけで
バズる動画が完成！""
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
""そこで日本最大級のAIコミュニティの
無料AIセミナーが現在開催中""
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
講義の質が高いとの声も""
""今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.07%,1.56%,4.57%,8,0.072%
"""まだChatGPTしか
使ってない人""
全員おバカです。はい。
今話題の最新AI知ってますか？
例えば
""Copilotは
Microsoft社が開発した次世代AIで""
""テキスト入力するだけで
高品質なオリジナルイラストを
3分で作ってくれるし""
""Midjourneyを使えば
高品質なAI画像が
誰でも作れちゃいます""
""でもAIって難しそうで、
自分で勉強するのは面倒じゃないっすか""
じゃあどうしたらいいかって言うと
""このセミナー
無料で参加できるので行ってください""
""実はこれ
AI専門家の木内さんが運営していて""
""話題のAIの最新情報から仕事への活用術まで教えてくれるから、
明日からの仕事が10倍楽になっちゃいます。""
""実際に参加した人からは
具体的なAIの最新情報が聞ける
講義の質が高いとの声も""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえます""
""既に100,000人が参加した超人気無料セミナーなので
気になる人は枠が埋まる前に
早めに申し込んだ方がいいっすよ""",0.20%,2.28%,8.60%,8,0.196%
"AI副業で稼ごうとしてる人、一回ストップ  
AI副業で稼げない人の衝撃の共通点は〇〇
実は、ほとんどのAI副業スクールが稼げない最大の理由は「サポート不足」。
やり方だけ教えて、一番面倒なアフターサポートはしてくれないので
AIは使えても仕事がなくて稼げない人が続出している
""そんな中
Xのフォロワー10万人超えのAI専門家で、あのキングコング西野さんも認めた木内翔太氏が、
「日本をAI先進国に」という思いで監修した""
この「2時間オンラインセミナー」を受ければ 
AI初心者でも月15万以上稼げる仕組みがスルッと理解できる
実際参加した人の中には、
４ヶ月で月収100万とか、半年で250万稼ぐ人も続出
""しかもSHIFT AIでは
実際に仕事を取ってくるところまで完全サポート""
だから学んで終わりではなく、確実に収入に繋げられる
実はこのセミナー、通常1万円のところ今だけ無料で公開中 
無理な勧誘も一切なし 
しかもAI副業案件集など豪華12大特典もプレゼント  
予約枠が埋まり次第即終了なので 
急いで詳細だけでもチェック",0.08%,1.23%,6.54%,7,0.080%
"ChatGPTを超える無料AIはコレ
例えばPerplexityは情報検索に特化していて、市場調査や競合分析をChatGPTの10倍早く正確にまとめてくれるし
Gensparkを使えば3日かかるようなスライドがたった5分で作れるようになる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前に下の詳細から""",0.14%,1.88%,7.69%,7,0.144%
"【貯金額が可視化された世界】
""A：はぁ～、今月ほんとにヤバいかも...
B：そうだよね
A：子供の塾代もばかにならないし、でもあの子のこと考えたら夏期講習とかも通わせてあげたいし
B：分かる...
A：ゆかりちゃんちは最近どう...？""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.22%,2.12%,10.14%,7,0.215%
"【ママを信じない娘vsAI副業を始めたママ】        
""一気に50万も入ってるんじゃん！
怪しい仕事とかじゃないよね...""        
ほんとに大丈夫？        
        全然大丈夫よ！（笑）
        テレビでもオススメされてたし
        ""家事の合間とか隙間時間に
パソコン開いて文章をコピペするだけなの！""
""え、絶対嘘じゃん！
しかもAIってなんか難しそうだし
私も分かんないのに
どこでそんなの覚えたの？""        
        ""たまたま見つけた
ここの無料セミナーで教えてもらったよ！""
何それ怪しすぎない？        
マジで止めた方が良いって        
        いや、それが本当に良かったのよ
        ""本当に2時間でAIの使い方から
月10万までの稼ぎ方とかぜーんぶ教えてくれたの""
""え、絶対嘘じゃん
お母さん洗脳されてない？大丈夫？""        
        ""私みたいな人もたくさんいたから大丈夫！
実際に参加した人の中には
3週間で月収7万とか
約1ヶ月で20万稼いだ人もいるんだって！""
""お母さんそれ本当？
そういう人たちは元々頭良かっただけじゃない？
どうせお金とか取られるんでしょ！""        
        ""いや、それが
本当に無料で教えてくれたんだよね！""
""え、ほんと？でもおかしくない？
なんでそんなこと無料で教えてくれるの？""        
        ""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さん？って人が運営してるセミナーで""
        ""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料らしいの！""
""木内さん？
調べてみたらabemaとかにも出てるじゃん。
本当にすごいひとなんだ。。。""        
        ""そうそう。
しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるらしくて。
私も貰えたよ、ほら。""
        ""しかもオンラインで
顔出しも要らなかったから気軽に参加できたよ！""
""へー、すご
そんなセミナー参加した方が絶対良いじゃん。。。""        
""私もAI気になってるし
そんなに言うなら参加してみようかな。。。""        
        ""これ、もう10万人以上が参加してる
人気無料セミナーだから""
        ""興味あるなら
早めに申し込んだ方がいいよ！""",0.14%,1.76%,7.69%,6,0.135%
"""副業始めたいんですけど何から始めたらいいか分かりません
アドバイスお願いします""
分かりました！
日本の10人に1人が副業してるっていうデータがあって
その中でちゃんと稼げる人ってほんの一握りしかいないんですけど
""今回僕がめちゃめちゃ分かりやすく
副業での稼ぎ方を
教えてあげます""
""結論、AI使ってください
っていうのも例えば9時から18時まで働いて、自分の時間できるのが21時くらいだとして、そこから1時間でできる副業ってAI副業だけなんですよね""
じゃあ実際にどうやって稼ぐかって言うと、一番簡単なのはこんな感じの動画を作ってTikTokとかYouTubeに投稿することです。
TikTokなら再生単価0.05円くらいだから、この500万再生された動画一本で25万稼げちゃってます
これやり方さえ知ってれば誰でも10分くらいで作れちゃうんですけど
具体的にどのAIをどうやって使えばいいのかって調べてもなかなか分からないじゃないですか
なので本気でAI使って月10万以上稼ぎたいならここの無料セミナーだけでも行ってみてください
これはAI専門家の木内さんが運営している
今まで10万人以上が参加した「完全無料」「たった2時間」「オンライン顔出しなし」のAIセミナーです
実際にこのセミナーに参加した人で
""始めて4ヶ月で100万稼いだ人や
1ヶ月で250万稼いでる人もいます""
副業したいけど何からやったらいいか分からないって人は
詳細からLINE追加して無料セミナー参加してきてください",0.12%,1.29%,9.38%,6,0.121%
