台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"""上司の給料
超えました""
""AI使えるだけで
上司の仕事のレベルが低く感じます""
""でもAIってどうやって仕事に
活用したらいいかなんて分かんないじゃないですか""
""なので、手っ取り早く周りと差を付けたい人は
このセミナー無料で参加できるから行ってみてください""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""「AI副業案件集」
などの12大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了だから
""AI身につけたい人は
今すぐ無料セミナーだけでも予約してみて！""",0.00%,1.23%,0.00%,0,0.000%
"""A：はぁ～、今月も残業80時間越えか
B：お前大丈夫かよ、先月もろくに休めてなかっただろ
A：あぁ、でもこの資料明日までに完成させないとなんだよな…
B：そうなんだ…
A：あきらの方は最近どう？""
B：そうだな…でも最近は結構余裕できたかな
A：てかなんで何もしてないのに残業時間減ってんだよ！
B：実は最近AIを使い始めて
A：えっAI？ChatGPTとか？　
B：うん、でも他にも色々使い分けてる
A：え、例えば？
B：スライド作成ならGenspark、情報検索とか分析ならPerplexityがいいよ
A：また時間減ったじゃん！どこで覚えたんだよそれ
B： SHIFT AIっていうところの無料セミナーで教えてもらった
A： 無料？怪しくない？
B： 俺も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、俺みたいなAI初心者にも、１から全部教えてくれた。
A：まじか！
B：今ではAI副業も始めて出勤時間だけで月5万稼げてる
A： すごすぎる...
B： しかも今なら参加者限定の特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.00%,1.67%,0.00%,0,0.000%
"""実は私、
これで月15万稼いでます""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.00%,1.91%,0.00%,0,0.000%
"半年前までChatGPTすら触れなかった私
でもそんな私がこの4ヶ月で月収100万を達成できたその内訳を発表
""AI記事作成代行 28万3,450円 
AI画像生成 24万7,640円 
AI動画制作 31万5,890円 
AI活用のSNS運用代行 17万6,140円""
月収合計 102万3,120円
正直自分でもびっくりしてます
AI初心者の私がここまで来れたのは、日本最大級の無料セミナーを見たのがきっかけです
ここでしか聞けない、AIで稼ぐ秘訣を教えてくれる2時間のセミナーなんですけど
自分こういうの怪しんじゃう性格だから、正直最初は見る気も起きませんでした
""でも動画を見ただけで、他にもAI初心者が6ヶ月で月収100万稼いでる方もいるし
何よりこれ、あのキングコング西野さんも認めたAI専門家の木内さんって方が運営してるらしくて""
無料なら損はしないかなと思って、ダメ元で見てみたんです
そしたら私自身、ChatGPTすら触れなかったのに
4ヶ月で月収100万のところまで来ちゃってます
まじでほんと夢みたい
このセミナー、人気で予約殺到してて枠が埋まりつつあるらしいから
今の給料じゃ足りないとか将来が不安という人は、
今すぐに見てみてください",0.00%,1.56%,0.00%,0,0.000%
"""子育てで自分の時間少ない人
子育てでなかなか家から出られない人
家族の時間を大切にしたい人
旦那の給料だけじゃ足りない人
自分のペースで働きたい人
人と仕事するのが苦手な人
資格も経験もない人
早起きが苦手な人""
""この副業絶対天職
１分で紹介します""
私がやった副業、それはAI使った副業
とはいえAI副業って、難しそうなイメージじゃないですか
でも実際のAI副業は、普通の主婦でもできる身近な副業なんです
でもなんでAI？って思うかもしれませんが、
今小学校でもプログラミングが必修になってるくらい社会がAIを必要としてるのに、
使いこなせる大人が足りないから、普通の主婦でも重宝されるし、稼げる高単価の案件も多いんですよね
""なので1案件10万〜50万の高単価で依頼が来るから
稼ぎやすさが他の副業と比べて段違いなんです""
""そんな中、あのキングコング西野さんも認めたAI専門家の木内さんが、たった2時間で、しかも無料でAIの使い方から月10万稼ぐ方法まで教えてくれるんです。
実際、参加した人の中には4ヶ月で月収100万、1ヶ月で250万稼いでる人もいるらしいんですよね""
私は本業があったので、隙間時間だけでやったけど、それでも月30万はゲットできました
しかも今ならこの無料セミナーに加えて、
AI副業案件集とかの12大特典も無料でもらえるらしいから、
予約が埋まる前に今すぐ詳細チェックしてみて",0.00%,2.43%,0.00%,0,0.000%
"""ChatGPTすらまともに使えないんですけど
私にもAI副業できますか？""
日本の10人に1人が副業してるっていうデータがあって
その中でちゃんと稼げる人ってほんの一握りしかいないんですけど
""今回僕がめちゃめちゃ分かりやすく
副業での稼ぎ方を
教えてあげます""
""結論、AI使ってください
っていうのも例えば9時から18時まで働いて、自分の時間できるのが21時くらいだとして、そこから1時間でできる副業ってAI副業だけなんですよね""
じゃあ実際にどうやって稼ぐかって言うと、一番簡単なのはこんな感じの動画を作ってTikTokとかYouTubeに投稿することです。
TikTokなら再生単価0.05円くらいだから、この500万再生された動画一本で25万稼げちゃってます
これやり方さえ知ってれば誰でも10分くらいで作れちゃうんですけど
具体的にどのAIをどうやって使えばいいのかって調べてもなかなか分からないじゃないですか
なので本気でAI使って月10万以上稼ぎたいならここの無料セミナーだけでも行ってみてください
これはAI専門家の木内さんが運営している
今まで10万人以上が参加した「完全無料」「たった2時間」「オンライン顔出しなし」のAIセミナーです
実際にこのセミナーに参加した人で
""始めて4ヶ月で100万稼いだ人や
1ヶ月で250万稼いでる人もいます""
副業したいけど何からやったらいいか分からないって人は
詳細からLINE追加して無料セミナー参加してきてください",0.00%,1.69%,0.00%,0,0.000%
"聞いてください！今完全AI初心者から始めて半年で月30万、人によっては月50万以上稼ぐ主婦の方が続出してるんです
これなんでかって言うと、AI人材の需要が今かなり上がってて、まさにAI人材バブルなんです
実際、AI市場が180兆円規模になるって言われている一方で使いこなせる人が足りないから、AIスキルある人は引っ張りだこなんですよね
とはいえ、AIって自分で勉強するのは難しそうじゃないですか
なので、私がおすすめなのがこの無料セミナーで、これ今2万人以上が受講している日本最大級のセミナーなんですけど、実際私もこれでAI使えるようになりました
とはいえ私は最初はこういうの怪しんじゃう性格なので、正直見る気も起きなかったんですけど、
でもAI専門家の木内さんっていう、あのキングコング西野さんも認めてる人がやってて、無料だから一度見てみたんですよ
そしたら、たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたし、他にも4ヶ月で月収100万、とか稼いでる人もいて、実際私も本当に稼げるようになったんです
ただこのAI人材バブル、いつ終わるか分からないから、今のうちに無料セミナーだけでも参加してみてください
",0.00%,1.16%,0.00%,0,0.000%
"聞いてください！今完全AI初心者から始めて半年で月30万、人によっては月50万以上稼ぐ主婦の方が続出してるんです
これなんでかって言うと、AI人材の需要が今かなり上がってて、まさにAI人材バブルなんです
実際、AI市場が180兆円規模になるって言われている一方で使いこなせる人が足りないから、AIスキルある人は引っ張りだこなんですよね
とはいえ、AIって自分で勉強するのは難しそうじゃないですか
なので、私がおすすめなのがこの無料セミナーで、これ今2万人以上が受講している日本最大級のセミナーなんですけど、実際私もこれでAI使えるようになりました
とはいえ私は最初はこういうの怪しんじゃう性格なので、正直見る気も起きなかったんですけど、
でもAI専門家の木内さんっていう、あのキングコング西野さんも認めてる人がやってて、無料だから一度見てみたんですよ
そしたら、たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたし、他にも4ヶ月で月収100万、とか稼いでる人もいて、実際私も本当に稼げるようになったんです
ただこのAI人材バブル、いつ終わるか分からないから、今のうちに無料セミナーだけでも参加してみてください
",0.00%,1.28%,0.00%,0,0.000%
"半年前までChatGPTすら触れなかった私
でもそんな私がこの4ヶ月で月収100万を達成できたその内訳を発表
""AI記事作成代行 28万3,450円 
AI画像生成 24万7,640円 
AI動画制作 31万5,890円 
AI活用のSNS運用代行 17万6,140円""
月収合計 102万3,120円
正直自分でもびっくりしてます
AI初心者の私がここまで来れたのは、日本最大級の無料セミナーを見たのがきっかけです
ここでしか聞けない、AIで稼ぐ秘訣を教えてくれる2時間のセミナーなんですけど
自分こういうの怪しんじゃう性格だから、正直最初は見る気も起きませんでした
""でも動画を見ただけで、他にもAI初心者が6ヶ月で月収100万稼いでる方もいるし
何よりこれ、あのキングコング西野さんも認めたAI専門家の木内さんって方が運営してるらしくて""
無料なら損はしないかなと思って、ダメ元で見てみたんです
そしたら私自身、ChatGPTすら触れなかったのに
4ヶ月で月収100万のところまで来ちゃってます
まじでほんと夢みたい
このセミナー、人気で予約殺到してて枠が埋まりつつあるらしいから
今の給料じゃ足りないとか将来が不安という人は、
今すぐに見てみてください",0.00%,1.41%,0.00%,0,0.000%
"""AI副業始めて３ヶ月。
隙間時間で月15万稼げるようになりました。""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.00%,1.32%,0.00%,0,0.000%
