台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"""ここだけ太ってる女性
お願いです！""
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今ディオクリニックなら
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",12.70%,1.10%,0,0,0.000%,506
"食事制限したくないんだけど、それでもいけんの？？
あー、失礼ですがお客様ただいま食事制限とかされてますか？？
""うわ、やっぱり痩せれる人と痩せれない人いるんだ！
食事制限はしてない。
できないからここにきてるわけじゃん""
なるほど、でしたら。。。
あー、もういいもういい、できないんでしょ？？
だいたい3ヶ月後には-15kgくらいを目指せますね！
は？本当にいけんの？？証拠は？
実は脂肪は簡単に落ちるんです！
へー
""そもそも太ってしまった原因は脂肪細胞っていう細胞で
これ厄介なのが、普通にダイエットしても脂肪細胞が小さくなるだけで、数自体は減らないんですよ。。。""
なのでちょっと気が緩むとリバウンドしちゃうんですよね。。
へー。。。
でもディオクリニックの医療痩身なら脂肪の元から破壊するからリバウンドほぼ0の体を目指せちゃうんです
へー、なんかすごいね。
他にも通ってる人はこんな感じで痩せられてます
「へー、でもどうせ高いんだろ」
""今実はダイエットデータが全然足りなくて、
100万円分無料で受けられる、モニター様を募集中なんですよ！""
へー、そんなのあるんだ。でもネットに書いてなかったよね。
""そうなんです。
流石に赤字覚悟のキャンペーンなんで各店舗先着5名限定なんですよ""
え、じゃあ私もらえないの？うわーじゃあどうしてくれるんですか
""まだ間に合うかどうかは
下の詳細から確認してみてください""
へー、
""注意して欲しいのは、
この動画は検索しても出てこないから
少しでも気になったら今すぐ確認したほうがいいです""
へー、なるほど。",68.50%,29.40%,0,0,0.000%,677
"""ここだけ減らしたい男性
絶対見て！""
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
男性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""ほとんどが女性のお客様で
男性のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""男性モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",22.96%,0.30%,0,0,0.000%,502
"""明けましておめでとうございます
今年こそ本気で痩せたい女性
絶対見て！""
2024年の脂肪を無料で落としちゃいませんか？
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
モニター価格として
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",16.67%,0.30%,0,0,0.000%,500
"""52歳母
「終わらないダイエットはもうやめた」
衝撃の方法とは？""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
モニター価格として
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",28.04%,0.30%,0,0,0.000%,473
"デニム履きたい骨格ウェーブの方、お願いです
""無料でいいので
あなたの脂肪取らせてください！""
""突然ですが
女性ダイエットモニターが
全然足りてません！""
""現在人気爆発中の
医療ダイエットなのですが""
""毎年寒くなると
来店が少なくなるので
冬用のデータが全くないんです。。。""
""なので30分寝てるだけでいいので
データ取らせていただけませんか？""
""食事制限、運動、サプリ
一切必要なし""
""もちろん
顔出しなども全くございません！""
""最新医療の力で
肥満原因の
脂肪細胞を破壊するので、""
""-15kg簡単に目指せて
99％リバウンドしない体にさせていただきます""
""どうせ後出しでの追加料金とかあると思ってる方も
ご安心ください""
今DIOクリニックなら
""モニター価格として
100万円分全額負担させていただきます""
""もちろん
無理な勧誘や後出しでの追加料金も一切ございません""
""でも流石に
赤字覚悟ですので""
""先着5名限定
埋まったら即終了とさせていただきます。""
""検索しても
モニター募集の
ページは見つからないので""
少しでも楽に痩せたい方は
""今すぐ
詳細をチェックしてみてください""",48.16%,0.50%,0,0,0.000%,508
"あれ100万円損してる人じゃない？
「覚悟を決めて、お金おろしてきました！」
あ、ほんとだ、せっかく100万円分無料でできるのに
そのやり方知らずに医療ダイエット来ちゃった人だ
""「バイト頑張って貯めたお金だけど、
もっと自信を付けたくて、、、」""
この子、、、頑張ってる、、、
めちゃくちゃ幸せになってほしいな
「お客様！まだ間に合いますよ！」
「間に合う？何がですか？」
「実は、、、」

来た来たこのシーン！
まあ、焦るな
「今、動画からお申込みいただけると
100万円分無料になります！」
か～～決まったね～！
まだだ、落ち着け
""「え、、、100万円分無料？
嬉しいけど、それってホントなんですか？」""
まあ、そうなるよね～
誰もが思うことよ
""「はい！今ダイエットデータが全然足りてなくて
100万円分無料でモニターを募集しているので！」""
「モニターってことは、顔出しとかあるってことですか？」
""「いいえ、顔出しや口コミは一切ないです！
とにかく症例データが足りなくて困っているだけなので！」""
ほんと困ってるのよ
ぜひお願いしたい
でも、追加料金はさすがにありますよね、、、」


「いえ、追加料金は一切ないのでご安心ください」
「え、（凄すぎ、）そうなんだ、知らなかった、、、私、ついてる～
良かったね～！嬉しそう～！
何よりだ
「お客様、それだけじゃないです！」
「え？」
「今なら、モニターにご協力いただいたお礼として」
""「アマギフ6万円、家庭用EMS、最大20万円分の旅行券も
プレゼントしています」""
「こ、こんなににもらっちゃっていいんですか！？」
改めてこの特典はえぐいわ
私もほちい
え？
「私、、憧れのハワイ（海外）旅行、行ってきます！」
「良いですね！」
はあ、見てるだけで幸せ！
私も行きたい（サングラス）
え？
「友達にも教えてあげよ～」
「あ、お客様、、、こちら人数制限がありますのでご注意ください」
こればかりはね～
我々もさすがに赤字覚悟だからな
「動画から申し込んでくれた方の中から各店舗先着5名限定になります」
「予約枠が埋まり次第即終了なので」
「100万円分無料にしたい方は」
「今すぐ詳細をチェックしてみてください」",25.30%,2.40%,0,0,0.000%,990
"「ねえ。。。ねえ！」「あ、私ですか・・」「ぼーっとしてないで動いたら？」
「あ、はい。。。」「あとさ、そのリップ濃すぎない？」「え、」
「バイトは自分を可愛く見せる場所ですか？それとも男に色目使いたい？？」
「そういうわけでは、、、」
「はーい、できたよ、、、今日の賄い」
「うわー、ほんとありがとう！いっつも美味しそうね！」
「ありがとうございます！」
「でももなみちゃん意外とたくさん食べるよね！」
「そうなの、もう、もなみめっちゃ食べるんだよ！」
「へー、俺美味しそうに食べる子好きなんだよね！」
「でもそんな食べるの好きなのに、モナミちゃんめちゃスタイルいいよね。」
「でもモナミこの前までめちゃ太ってもんね」
「は、はい。。。」
「じゃあ、めちゃダイエット頑張ったの？？」
「い、いや」
「切らない脂肪吸引しました。。。」
「何それ？？」
「今韓国で超流行ってて、簡単に部分痩せ目指せるって聞いたので、ヤってみました。」
（怪しくない？？）
「へ〜、だからそんなにスタイルいいんだ！」「でもめちゃ高かったんじゃない？」
「それが、普通だと100万円以上するんですけど、100万円分無料でできたんです！」
「（は？100万円分全額無料？？）」
「え、100万円分無料だったら俺も行きたいかも！」
「絶対行ったほうがと思います！」「しかも今ならモニターで行けるので、アマギフ6万円分と家庭用EMSまでもらえました！」
「え、えぐすぎんか！」「しかも今月申し込んだ人はこれももらえました！」
「え。最大20万円分の旅行券？？すごすぎない？？誰と行くの？？」
「まだわかんないですよ。。。笑」
「でもこの無料モニターは各店舗確か５名限定って言ってたので、早めに予約だけでもしたほうがいいと思います！」




",54.30%,4.10%,0,0,0.000%,756
"「みなとくん、実はあの子いろんな男の子とヤってるんだって」
「ねえ。。。ねえ！」「あ、私ですか・・」「ぼーっとしてないで動いたら？」
「あ、はい。。。」「あとさ、そのリップ濃すぎない？」「え、」
「バイトは自分を可愛く見せる場所ですか？それとも男に色目使いたい？？」
「そういうわけでは、、、」
「はーい、できたよ、、、今日の賄い」
「うわー、ほんとありがとう！いっつも美味しそうね！」
「ありがとうございます！」
「でももなみちゃん意外とたくさん食べるよね！」
「そうなの、もう、もなみめっちゃ食べるんだよ！」
「へー、俺美味しそうに食べる子好きなんだよね！」
「でもそんな食べるの好きなのに、モナミちゃんめちゃスタイルいいよね。」
「でもモナミこの前までめちゃ太ってもんね」
「は、はい。。。」
「じゃあ、めちゃダイエット頑張ったの？？」
「い、いや」
「切らない脂肪吸引しました。。。」
「何それ？？」
「今韓国で超流行ってて、簡単に部分痩せ目指せるって聞いたので、ヤってみました。」
（怪しくない？？）
「へ〜、だからそんなにスタイルいいんだ！」「でもめちゃ高かったんじゃない？」
「それが、普通だと100万円以上するんですけど、100万円分無料でできたんです！」
「（は？100万円分全額無料？？）」
「え、100万円分無料だったら俺も行きたいかも！」
「絶対行ったほうがと思います！」「しかも今ならモニターで行けるので、アマギフ6万円分と家庭用EMSまでもらえました！」
「え、えぐすぎんか！」「しかも今月申し込んだ人はこれももらえました！」
「え。最大20万円分の旅行券？？すごすぎない？？誰と行くの？？」
「まだわかんないですよ。。。笑」
「でもこの無料モニターは各店舗確か５名限定って言ってたので、早めに予約だけでもしたほうがいいと思います！」




",51.40%,4.50%,0,0,0.000%,786
"「ねえねえ、みなと君に近寄ったら追い出すから・・・」
「ねえ。。。ねえ！」「あ、私ですか・・」「ぼーっとしてないで動いたら？」
「あ、はい。。。」「あとさ、そのリップ濃すぎない？」「え、」
「バイトは自分を可愛く見せる場所ですか？それとも男に色目使いたい？？」
「そういうわけでは、、、」
「はーい、できたよ、、、今日の賄い」
「うわー、ほんとありがとう！いっつも美味しそうね！」
「ありがとうございます！」
「でももなみちゃん意外とたくさん食べるよね！」
「そうなの、もう、もなみめっちゃ食べるんだよ！」
「へー、俺美味しそうに食べる子好きなんだよね！」
「でもそんな食べるの好きなのに、モナミちゃんめちゃスタイルいいよね。」
「でもモナミこの前までめちゃ太ってもんね」
「は、はい。。。」
「じゃあ、めちゃダイエット頑張ったの？？」
「い、いや」
「切らない脂肪吸引しました。。。」
「何それ？？」
「今韓国で超流行ってて、簡単に部分痩せ目指せるって聞いたので、ヤってみました。」
（怪しくない？？）
「へ〜、だからそんなにスタイルいいんだ！」「でもめちゃ高かったんじゃない？」
「それが、普通だと100万円以上するんですけど、100万円分無料でできたんです！」
「（は？100万円分全額無料？？）」
「え、100万円分無料だったら俺も行きたいかも！」
「絶対行ったほうがと思います！」「しかも今ならモニターで行けるので、アマギフ6万円分と家庭用EMSまでもらえました！」
「え、えぐすぎんか！」「しかも今月申し込んだ人はこれももらえました！」
「え。最大20万円分の旅行券？？すごすぎない？？誰と行くの？？」
「まだわかんないですよ。。。笑」
「でもこの無料モニターは各店舗確か５名限定って言ってたので、早めに予約だけでもしたほうがいいと思います！」
",64.10%,6.10%,0,0,0.000%,779
