台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"""40代パートの私が
AI副業を始めて遂に月収50万""
""これ、テレビでも
オススメされてたんですけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるんすか...？
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全く無かったんすよね""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.20%,2.18%,9.38%,"1,873",0.205%
"""まだChatGPTしか使ってない人
正直時代遅れです""
例えばPerplexityは情報検索に特化していて、市場調査や競合分析をChatGPTの10倍早く正確にまとめてくれるし
Gensparkを使えば3日かかるようなスライドがたった5分で作れるようになる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前に下の詳細から""",0.19%,2.71%,6.88%,"1,538",0.186%
"""A：はぁ～、今年の夏詰んだかも...
B：えーどうしたん？
A：お金なくて働かないとだけど、そうすると遊ぶ時間が無くなる…
B：分かる...
A：ゆあちーは？""
そうね...でも最近ちょっと余裕あんだよね(603万→605万）+20,000
え、てかさっきからなんで数字増えてんの？（150万）
実は最近、副業始めたんだよね（605万→606万）+10,000
えっ副業？パパ活とかじゃなくて？（150万）
ちげーよｗ、AI副業。それで最近ちょっと贅沢できてるんだよね（606万→608万）（+20,000）
AI副業？何それ？（150万）
こうしてる間もAIが自動で稼いでくれんだよ、ほら！（608万→610万）（+20,000)）
え、もう10万も増えてんじゃん！どこで知ったん？
SHIFT AIってとこの無料セミナーで教えてもらった
無料？怪しすぎるだろ…
あーしも最初そう思ったけど...運営してる木内さんって人がアべマとかに出てるAIの専門家の人らしいんだよね
2時間だけで、あーしみたいなAI使ったことない人にも1から全部教えてくれた。
マジ？ちょー優しいじゃん
今ではネイルも美容院も値段気にせず行けてる
えぐっ...
しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.13%,1.55%,8.08%,"1,354",0.126%
"""【めっちゃバカそうなギャルが実はシゴデキだった】
今日から新人来るみたいだけどどんな子なんだろうなー、""
""おっつ～、今日からお世話になるレイカでぇす
""
（うわ終わったぁ、適当に雑用させてさっさと帰らせよう）
うちが来たからには、部署の成績ぶち上げちゃうよん
""（まぁでもそういうことなら悪くないか（下心））
じゃあ早速なんだけどこの資料整理しといてもらえる？""
ほーい、終わったよん
""（そうだよな、いきなり無理だよなって）
え？もう終わったの？""
うんほら、ついでにスライドも作っておいたー
え、スゴ、でもこの短時間でどうやって？
""資料系はClaudeにまとめて入れてぇ、なんかGensparkに入れたらこのスライドができたの
もしかしてセンパイAI使えない系？ｗ""
""（AIって難しそうだし、勉強する時間もなかったんだよぁ）
僕みたいなおじさんにはもう遅いかな""
それならここの無料セミナー行った方が良き！
たった2時間でAIの使い方から副業で月10万稼ぐ方法とか教えてくれるから！
2時間無料はありがたいけど、本当にそれでAI身につけられるの？
""大丈夫！60歳のおじいちゃんでも15万とか稼いでるんだよ？
おじいちゃんに出来てセンパイに出来ないことないでしょ！""
""（え、この子いい子過ぎない？）
確かにそれなら僕にもできるかも、、""
""でしょ？ｗ
この無料セミナーこれまでに10万人以上参加した超人気セミナーだから、興味あるなら早めに申し込んだ方が良いかも""",0.17%,2.69%,6.42%,"1,254",0.173%
"【AI副業始めた友達の貯金額がヤバイ】
""おね～さ～ん！
僕たちが全部奢るから一緒に遊ばない～？""
え～、まぁちょっとだけなら遊んであげてもいいよ～
""はははは～、
でさ～あの時の男が～""
（くっそー…なんで俺の方には来てくれないんだよ）
（ん？ヒュウガのやついつの間にこんな稼いでたんだ？）
""（世のなか結局は金か…）
おいヒュウガ、お前いつの間にそんな稼いでたんだよ""
あ～これ？実は最近副業始めたんだよ
副業？せどりとか？
""いーや？AI副業
それで最近ちょっと余裕出てきてさ…""
AI副業？なにそれ稼げるの？
こうしてる間もAIが自動で稼いでくれるんだよ、ほら！
おいマジか…どこで知ったんだよそれ
SHIFT AIってとこの無料セミナーで教えてもらったんだよ
え、無料？怪しくない？
俺も最初はそう思ってたんだけど…AI専門家の木内さんって人がやってて、すでに10万人以上参加してるらしいんだよ
2時間だけで、AIの使い方から月10万稼ぐ方法まで教えてくれて…
すげーな…
おかげで前よりもお金を気にせずに遊べてる
マジかよ、めっちゃ羨ましいわ…
でも俺、すげー後悔してんだよ
え？やっぱ裏あるんだ…
""だってさ、今なら無料でAI副業案件集とかの特典も貰えるんだよ！
俺の時はなかったからな…""
人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいよ",0.10%,1.71%,5.75%,"1,188",0.099%
"35歳2児のママ
AI副業を始めて遂に月収50万
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.17%,1.69%,10.32%,"1,182",0.175%
"""30代土木作業員の俺が
AIを学び始めて遂に月収100万""
これ今でも信じられないんだけど
""帰ってから1時間
PC開いて
プロンプト入力するだけ！""
こんなにもらえていいの!?
先月の月収は遂に100万超えちゃいました！
僕が何をしたかって言うと
""ここの無料オンラインセミナーに
行っただけ！""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に、この無料セミナーに参加した人の中には
4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了だから
""AI身につけたい人は
今すぐ無料セミナーだけでも予約してみて！""",0.25%,1.86%,13.16%,"1,074",0.245%
"""35歳2児のママ

収入内訳
・AI記事制作代行:¥183,450円
・AI画像生成:¥143,450円
・AI動画生成:¥173,100円""
""AI副業を始めて遂に月収50万

収入内訳
・AI記事制作代行:¥183,452円
・AI画像生成:¥143,448円
・AI動画生成:¥173,100円""
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.17%,1.71%,10.03%,924,0.172%
"【ママを信じない娘vsSHIFTAIに参加したママ】	
え、お母さん、絶対騙されてるよ！	
マジで止めた方が良いって	
	いや、それが本当に良かったのよ
	""本当に2時間でAIの使い方から
月10万までの稼ぎ方とかぜーんぶ教えてくれたの""
""え、絶対嘘じゃん
お母さん洗脳されてない？大丈夫？""	
	""私みたいな人もたくさんいたから大丈夫！
実際に参加した人の中には
3週間で月収7万とか
約1ヶ月で20万稼いだ人もいるんだって！""
""お母さんそれ本当？
そういう人たちは元々頭良かっただけじゃない？
どうせお金とか取られるんでしょ！""	
	""いや、それが
本当に無料で教えてくれたんだよね！""
""え、ほんと？でもおかしくない？
なんでそんなこと無料で教えてくれるの？""	
	""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さん？って人が運営してるセミナーで""
	""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料らしいの！""
""木内さん？
調べてみたらabemaとかにも出てるじゃん。
本当にすごいひとなんだ。。。""	
	""そうそう。
しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるらしくて。
私も貰えたよ、ほら。""
	""しかもオンラインで
顔出しも要らなかったから気軽に参加できたよ！""
""へー、すご
そんなセミナー参加した方が絶対良いじゃん。。。""	
""私もAI気になってるし
そんなに言うなら参加してみようかな。。。""	
	""これ、もう10万人以上が参加してる
人気無料セミナーだから""
	""興味あるなら
早めに申し込んだ方がいいよ！""",0.26%,2.01%,12.91%,792,0.259%
"AI副業で稼ごうとしてる人、一回ストップ  
AI副業で稼げない人の衝撃の共通点は〇〇
実は一般的なAI副業スクールで稼げない原因は「サポート不足」
今の時代ではAIを知ってるふうに発信すれば誰でも稼げるため
大半のAIスクールがサポート不足で、稼げない人が続出している
""そんな中
Xのフォロワー10万人超えのAI専門家で、あのキングコング西野さんも認めた木内翔太氏が、
「日本をAI先進国に」という思いで監修した""
この「2時間オンラインセミナー」を受ければ 
AI初心者でも月15万以上稼げる仕組みがスルッと理解できる
実際参加した人の中には、
４ヶ月で月収100万とか、半年で250万稼ぐ人も続出
""しかもSHIFT AIでは
実際に仕事を取ってくるところまで完全サポート""
だから学んで終わりではなく、確実に収入に繋げられる
実はこのセミナー、通常1万円のところ今だけ無料で公開中 
無理な勧誘も一切なし 
しかもAI副業案件集など豪華12大特典もプレゼント  
予約枠が埋まり次第即終了なので 
急いで詳細だけでもチェック",0.26%,2.43%,10.72%,434,0.260%
